OBJECTID *,ID_EXPLORACION,ID_ESTUDIO,ID_FUENTE,NO_ESTUDIO,NO_EXPLORACION,CLASE_EXPLORACION,TIPO_EXPLORACION,PROF_EXPLORACION__m_,NIVEL_FREATICO__m_,EQUIPO_UTILIZADO,FECHA,NO_REFERENCIA,REF_SECTOR,REF_UBICACION,ESTE,NORTE,COD,Shape *,X_wgs_1,Y_wgs_1,X_wgs,Y_wgs,,
48,JIS13P2,JIS13,JIS,13,2,P,PERFORACION,13.4,"1,8",<Null>,<Null>,SONDEO 2,GLORIETA,GLORIETA,4960585.775,2170721.956,48,Point,-73.356,5.544978,-73.35582046,5.545129277,,
49,JIS13P3,JIS13,JIS,13,3,P,PERFORACION,13.6,"1,8",<Null>,<Null>,SONDEO 3,GLORIETA,GLORIETA,4960585.775,2170721.956,49,Point,-73.356,5.544978,-73.35587593,5.544994758,,
50,JIS13P4,JIS13,JIS,13,4,P,PERFORACION,14.4,"1,8",<Null>,<Null>,SONDEO 4,GLORIETA,GLORIETA,4960585.775,2170721.956,50,Point,-73.356,5.544978,-73.35583684,5.545063487,,
51,CSE14P3,CSE14,CSE,14,3,P,PERFORACION,15.2,<Null>,<Null>,<Null>,SONDEO 3,LOS CRISTALES,LOS CRISTALES,4960918.649,2171940.553,51,Point,-73.353,5.556008,-73.353,5.556008,,
52,CSE14P4,CSE14,CSE,14,4,P,PERFORACION,15.2,<Null>,<Null>,<Null>,SONDEO 4,LOS CRISTALES,LOS CRISTALES,4960918.649,2171940.553,52,Point,-73.353,5.556008,-73.35295994,5.556163606,,
53,IJA15P1,IJA15,IJA,15,1,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 1,LAS AMERICAS,LAS AMERICAS,4959320.253,2168762.891,53,Point,-73.367419,5.527242,-73.367419,5.527242,,
54,IJA15P2,IJA15,IJA,15,2,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 2,LAS AMERICAS,LAS AMERICAS,4959320.253,2168762.891,54,Point,-73.367419,5.527242,-73.36724094,5.52742278,,
55,IJA15P3,IJA15,IJA,15,3,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 3,LAS AMERICAS,LAS AMERICAS,4959320.253,2168762.891,55,Point,-73.367419,5.527242,-73.3672991,5.52729415,,
56,IJA15P4,IJA15,IJA,15,4,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 4,LAS AMERICAS,LAS AMERICAS,4959320.253,2168762.891,56,Point,-73.367419,5.527242,-73.36725037,5.527387949,,
57,AUS16P5,AUS16,AUS,16,5,P,PERFORACION,14,"1,5",<Null>,<Null>,PERFORACION 3,LAS VILLAS,LAS VILLAS,4962953.906,2172942.915,57,Point,-73.334622,5.56509,-73.334622,5.56509,,
